topk,alpha,smooth,scorer,sweep_split,VAL_Accuracy,VAL_Precision,VAL_Recall,VAL_F1,VAL_FPR,VAL_TN,VAL_FP,VAL_FN,VAL_TP,VAL_ROC-AUC,VAL_PR-AUC
1,0.0,3,unsup,VAL,0.9342260153031194,0.741514360313316,0.44936708860759494,0.5596059113300492,0.01606099935107073,6065,99,348,284,0.8491442245295262,0.6162503237064472
3,0.0,3,unsup,VAL,0.9336374337845792,0.7279596977329975,0.4572784810126582,0.5617103984450923,0.01752109020116807,6056,108,343,289,0.8460630939961721,0.6096684022601592
5,0.0,3,unsup,VAL,0.9334902884049441,0.7261306532663316,0.4572784810126582,0.5611650485436893,0.017683322517845552,6055,109,343,289,0.8457414530265568,0.6128608926437422
10,0.0,3,unsup,VAL,0.9345203060623897,0.7297297297297297,0.4699367088607595,0.5717035611164581,0.017845554834523034,6054,110,335,297,0.8482722258273847,0.6271246122272961
20,0.0,3,unsup,VAL,0.9376103590347263,0.744131455399061,0.5015822784810127,0.5992438563327032,0.017683322517845552,6055,109,315,317,0.8533145191762705,0.6416663945425981
