mode,seed,scorer,alpha,topk,smooth,VAL_Accuracy,VAL_Precision,VAL_Recall,VAL_F1,VAL_FPR,VAL_TN,VAL_FP,VAL_FN,VAL_TP,VAL_ROC-AUC,VAL_PR-AUC,beta
net_only,2024,unsup,1.0,1.0,1,0.8795200525969756,0.03636363636363636,0.006339144215530904,0.010796221322537112,0.0194388410049514,5347,106,627,4,0.467640633414544,0.0966346976101249,
net_only,2024,unsup,1.0,1.0,2,0.8795200525969756,0.05263157894736842,0.009508716323296355,0.016107382550335572,0.01980561158995048,5345,108,625,6,0.4650964894358738,0.09775098039447766,
net_only,2024,unsup,1.0,1.0,3,0.8795200525969756,0.05263157894736842,0.009508716323296355,0.016107382550335572,0.01980561158995048,5345,108,625,6,0.46790830037871534,0.09928689649652589,
net_only,2024,unsup,1.0,1.0,5,0.8790269559500329,0.035398230088495575,0.006339144215530904,0.010752688172043012,0.019988996882450025,5344,109,627,4,0.47364875409892293,0.09923199094498264,
net_only,2024,unsup,1.0,1.0,8,0.878862590401052,0.026785714285714284,0.004754358161648178,0.008075370121130552,0.019988996882450025,5344,109,628,3,0.47369147618766677,0.09514695959191226,
net_only,2024,unsup,1.0,1.0,12,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.47543436303254755,0.09489736196184595,
net_only,2024,unsup,1.0,1.0,20,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.4775661080729344,0.09531722179433313,
net_only,2024,unsup,1.0,1.0,30,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.48312492025936665,0.09631136889713227,
net_only,2024,unsup,1.0,1.0,40,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.4878268203460605,0.09737385909548947,
net_only,2024,unsup,1.0,3.0,1,0.8803418803418803,0.0782608695652174,0.014263074484944533,0.024128686327077747,0.0194388410049514,5347,106,622,9,0.47378113444873826,0.09953850751999552,
net_only,2024,unsup,1.0,3.0,2,0.8798487836949376,0.06896551724137931,0.012678288431061807,0.0214190093708166,0.01980561158995048,5345,108,623,8,0.47207181495929923,0.09994060012002146,
net_only,2024,unsup,1.0,3.0,3,0.8796844181459567,0.06086956521739131,0.011093502377179081,0.01876675603217158,0.01980561158995048,5345,108,624,7,0.4755763340553463,0.10066546169807308,
net_only,2024,unsup,1.0,3.0,5,0.8791913214990138,0.043859649122807015,0.00792393026941363,0.013422818791946308,0.019988996882450025,5344,109,626,5,0.4829816414175247,0.10104129769892516,
net_only,2024,unsup,1.0,3.0,8,0.878862590401052,0.026785714285714284,0.004754358161648178,0.008075370121130552,0.019988996882450025,5344,109,628,3,0.48411653772055274,0.09775665181281226,
net_only,2024,unsup,1.0,3.0,12,0.878698224852071,0.018018018018018018,0.003169572107765452,0.005390835579514825,0.019988996882450025,5344,109,629,2,0.4869732504505437,0.09776721482831824,
net_only,2024,unsup,1.0,3.0,20,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.49020981195596547,0.09827844140802999,
net_only,2024,unsup,1.0,3.0,30,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.4963030861913781,0.09958564027721926,
net_only,2024,unsup,1.0,3.0,40,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.5001326709762695,0.1005329805664867,
net_only,2024,unsup,1.0,5.0,1,0.881163708086785,0.11666666666666667,0.022187004754358162,0.037283621837549935,0.0194388410049514,5347,106,617,14,0.4793014386300101,0.10437146394591229,
net_only,2024,unsup,1.0,5.0,2,0.8805062458908612,0.09322033898305085,0.017432646592709985,0.029372496662216287,0.019622226297450942,5346,107,620,11,0.47817744081900854,0.10305005802631635,
net_only,2024,unsup,1.0,5.0,3,0.8798487836949376,0.06140350877192982,0.011093502377179081,0.01879194630872483,0.019622226297450942,5346,107,624,7,0.48197462075427444,0.1035273972720565,
net_only,2024,unsup,1.0,5.0,5,0.8793556870479947,0.05217391304347826,0.009508716323296355,0.0160857908847185,0.019988996882450025,5344,109,625,6,0.49064778602220444,0.10412458534411433,
net_only,2024,unsup,1.0,5.0,8,0.8790269559500329,0.035398230088495575,0.006339144215530904,0.010752688172043012,0.019988996882450025,5344,109,627,4,0.49271951669983194,0.10077645788657379,
net_only,2024,unsup,1.0,5.0,12,0.878862590401052,0.026785714285714284,0.004754358161648178,0.008075370121130552,0.019988996882450025,5344,109,628,3,0.497099402675449,0.10115624787383595,
net_only,2024,unsup,1.0,5.0,20,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.5019027313946031,0.10180511500137006,
net_only,2024,unsup,1.0,5.0,30,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.5084557766803077,0.10326301634021733,
net_only,2024,unsup,1.0,5.0,40,0.8783694937541091,0.0,0.0,0.0,0.019988996882450025,5344,109,631,0,0.5124866202846221,0.10439821894164794,
net_only,2024,unsup,1.0,10.0,1,0.8821499013806706,0.12931034482758622,0.02377179080824089,0.040160642570281124,0.018521914542453694,5352,101,616,15,0.4855728668817496,0.10803400727095527,
net_only,2024,unsup,1.0,10.0,2,0.8821499013806706,0.11607142857142858,0.020602218700475437,0.034993270524899055,0.01815514395745461,5354,99,618,13,0.48575901312556247,0.10874459315588533,
net_only,2024,unsup,1.0,10.0,3,0.8813280736357659,0.11764705882352941,0.022187004754358162,0.037333333333333336,0.01925545571245186,5348,105,617,14,0.4893893734762092,0.10986076134457448,
net_only,2024,unsup,1.0,10.0,5,0.8808349769888232,0.11475409836065574,0.022187004754358162,0.03718459495351926,0.01980561158995048,5345,108,617,14,0.4998110928048737,0.11119092458920497,
net_only,2024,unsup,1.0,10.0,8,0.8808349769888232,0.12096774193548387,0.02377179080824089,0.039735099337748346,0.019988996882450025,5344,109,616,15,0.5031559126644256,0.10848410030112955,
net_only,2024,unsup,1.0,10.0,12,0.8800131492439185,0.08403361344537816,0.01584786053882726,0.02666666666666667,0.019988996882450025,5344,109,621,10,0.5089145305380105,0.10923301913127438,
net_only,2024,unsup,1.0,10.0,20,0.8801775147928994,0.09166666666666666,0.017432646592709985,0.02929427430093209,0.019988996882450025,5344,109,620,11,0.5163584912185764,0.11020746237089143,
net_only,2024,unsup,1.0,10.0,30,0.881163708086785,0.1349206349206349,0.02694136291600634,0.04491413474240423,0.019988996882450025,5344,109,614,17,0.5244044845986869,0.11156352019341484,
net_only,2024,unsup,1.0,10.0,40,0.8813280736357659,0.14173228346456693,0.028526148969889066,0.047493403693931395,0.019988996882450025,5344,109,613,18,0.5270051554226682,0.11212735148783795,
net_only,2024,unsup,1.0,20.0,1,0.8823142669296515,0.102803738317757,0.017432646592709985,0.02981029810298103,0.017604988079955985,5357,96,620,11,0.4925413626835051,0.10953112045701602,
net_only,2024,unsup,1.0,20.0,2,0.8829717291255753,0.13513513513513514,0.02377179080824089,0.04043126684636118,0.017604988079955985,5357,96,616,15,0.49076316472445847,0.11290972678833686,
net_only,2024,unsup,1.0,20.0,3,0.8828073635765944,0.15254237288135594,0.028526148969889066,0.04806408544726302,0.01833852924995415,5353,100,613,18,0.49618654498330783,0.114700338649912,
net_only,2024,unsup,1.0,20.0,5,0.8818211702827088,0.13333333333333333,0.025356576862123614,0.0426098535286285,0.019072070419952316,5349,104,615,16,0.5083662637324632,0.12059872467949377,
net_only,2024,unsup,1.0,20.0,8,0.8819855358316897,0.15748031496062992,0.03169572107765452,0.052770448548812667,0.019622226297450942,5346,107,611,20,0.5138124581679548,0.11970461598668365,
net_only,2024,unsup,1.0,20.0,12,0.8821499013806706,0.16923076923076924,0.03486529318541997,0.05781865965834428,0.01980561158995048,5345,108,609,22,0.522559733181665,0.12170054438198355,
net_only,2024,unsup,1.0,20.0,20,0.8813280736357659,0.14173228346456693,0.028526148969889066,0.047493403693931395,0.019988996882450025,5344,109,613,18,0.5335045801276024,0.1240030127610971,
net_only,2024,unsup,1.0,20.0,30,0.8818211702827088,0.16153846153846155,0.03328050713153724,0.05519053876478318,0.019988996882450025,5344,109,610,21,0.5448490384478455,0.125887305539293,
net_only,2024,unsup,1.0,20.0,40,0.8816568047337278,0.15503875968992248,0.03169572107765452,0.05263157894736842,0.019988996882450025,5344,109,611,20,0.5482582320669673,0.12554333638610912,
net_only,2024,semisup,,,1,0.8882314266929652,0.0,0.0,0.0,0.008985879332477534,5404,49,631,0,0.50322348331499,0.1294430303153648,
net_only,2024,semisup,,,2,0.8913543721236029,0.0,0.0,0.0,0.0055015587749862455,5423,30,631,0,0.4889236445836094,0.12950282631178928,
