mode,seed,scorer,alpha,topk,smooth,beta,hyst_mult,head,head_val_PRAUC,thr_fpr,thr_valF1,thr_valAcc,thr_hyst_lo,val_best_F1,val_best_Accuracy,VAL_Accuracy,VAL_Precision,VAL_Recall,VAL_F1,VAL_FPR,VAL_TN,VAL_FP,VAL_FN,VAL_TP,VAL_ROC-AUC,VAL_PR-AUC,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_FPR,TEST_TN,TEST_FP,TEST_FN,TEST_TP,TEST_ROC-AUC,TEST_PR-AUC,TESTOP_Accuracy,TESTOP_Precision,TESTOP_Recall,TESTOP_F1,TESTOP_FPR,TESTOP_TN,TESTOP_FP,TESTOP_FN,TESTOP_TP,TESTOP_ROC-AUC,TESTOP_PR-AUC,TESTACC_Accuracy,TESTACC_Precision,TESTACC_Recall,TESTACC_F1,TESTACC_FPR,TESTACC_TN,TESTACC_FP,TESTACC_FN,TESTACC_TP,TESTACC_ROC-AUC,TESTACC_PR-AUC,TESTHY_Accuracy,TESTHY_Precision,TESTHY_Recall,TESTHY_F1,TESTHY_FPR,TESTHY_TN,TESTHY_FP,TESTHY_FN,TESTHY_TP,TESTHY_ROC-AUC,TESTHY_PR-AUC,TEST_EventCount,TEST_EventRecall,TEST_EventsDetected,TESTOP_EventCount,TESTOP_EventRecall,TESTOP_EventsDetected,TESTACC_EventCount,TESTACC_EventRecall,TESTACC_EventsDetected,TESTHY_EventCount,TESTHY_EventRecall,TESTHY_EventsDetected,CI_recall_wilson95_lo,CI_precision_wilson95_lo,CI_rocauc_boot95_lo,CI_prauc_boot95_lo,CI_recall_wilson95_hi,CI_precision_wilson95_hi,CI_rocauc_boot95_hi,CI_prauc_boot95_hi,n_train_anom_windows,n_blocks,window_size,stride,target_mode,label_mode,fit_windows,calib_windows,calfit_windows,calthr_windows,train_windows,train_anom,val_windows,val_anom,test_windows,test_anom
fused,42,unsup,0.0,1.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.5490401565844035,7.546202091877455,7.20170002386237,10.426119228528776,7.546202091877455,0.533203125,0.9301059446733373,0.9226015303119482,0.6743421052631579,0.32436708860759494,0.43803418803418803,0.01606099935107073,6065,99,427,205,0.8083920826522313,0.5377057122003986,0.9164213280994439,0.7349397590361446,0.2914012738853503,0.41733181299885974,0.012030623405030985,5420,66,445,183,0.732674776094796,0.5063470172406204,0.9295060516846582,0.7806267806267806,0.43630573248407645,0.5597548518896833,0.014035727305869484,5409,77,354,274,0.732674776094796,0.5063470172406204,0.9113509977101734,0.9056603773584906,0.15286624203821655,0.2615803814713896,0.0018228217280349978,5476,10,532,96,0.732674776094796,0.5063470172406204,0.9295060516846582,0.7806267806267806,0.43630573248407645,0.5597548518896833,0.014035727305869484,5409,77,354,274,0.732674776094796,0.5063470172406204,16,0.625,10,16,0.625,10,16,0.25,4,16,0.625,10,0.2572146838979345,0.6768492814678231,0.7054119338799996,0.46185178549473305,0.3281244264107251,0.7858910270889967,0.7583852577643245,0.5456558953466271,2394,30,30,15,forecast,target,37251,10363,4919,5444,50008,2394,6796,632,6114,628
fused,42,semisup,,,3,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.5490401565844035,7.020738806546813,4.359805880668672,12.391459285190715,7.020738806546813,0.5256887565152644,0.9323131253678635,0.9234844025897587,0.6717791411042945,0.34651898734177217,0.4572025052192067,0.017358857884490587,6057,107,413,219,0.8335152457306204,0.561172068890102,0.9167484461890743,0.7044673539518901,0.32643312101910826,0.44613710554951036,0.015676266861100983,5400,86,423,205,0.7053910823381346,0.492357946400088,0.9021916912005233,0.5241157556270096,0.5191082802547771,0.5216,0.05395552314983594,5190,296,302,326,0.7053910823381346,0.492357946400088,0.9142950605168466,0.940677966101695,0.1767515923566879,0.2975871313672922,0.0012759752096244985,5479,7,517,111,0.7053910823381346,0.492357946400088,0.9021916912005233,0.5241157556270096,0.5191082802547771,0.5216,0.05395552314983594,5190,296,302,326,0.7053910823381346,0.492357946400088,16,0.625,10,16,0.75,12,16,0.3125,5,16,0.75,12,0.2909103837336292,0.6496523187887588,0.678238830737269,0.45089963426785434,0.3640664332407516,0.7539542279129279,0.7303536371624534,0.5347137080022109,2394,30,30,15,forecast,target,37251,10363,4919,5444,50008,2394,6796,632,6114,628
fused,42,hybrid,0.0,1.0,3,0.75,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.5490401565844035,7.02899789768454,4.387518467902277,11.566173914513577,7.02899789768454,0.5398230088495575,0.9326074161271336,0.922307239552678,0.6635220125786163,0.3338607594936709,0.4442105263157895,0.017358857884490587,6057,107,421,211,0.8369744905083827,0.5699400288444909,0.9213280994438993,0.779467680608365,0.32643312101910826,0.4601571268237935,0.010572366022602987,5428,58,423,205,0.7090100220364053,0.5051032828111041,0.9041543997383056,0.5343137254901961,0.5207006369426752,0.5274193548387097,0.05195041924899744,5201,285,301,327,0.7090100220364053,0.5051032828111041,0.9160942100098135,0.9457364341085271,0.1942675159235669,0.32232496697490093,0.0012759752096244985,5479,7,506,122,0.7090100220364053,0.5051032828111041,0.9041543997383056,0.5343137254901961,0.5207006369426752,0.5274193548387097,0.05195041924899744,5201,285,301,327,0.7090100220364053,0.5051032828111041,16,0.625,10,16,0.75,12,16,0.3125,5,16,0.75,12,0.2909103837336292,0.7255351507994491,0.6819033653328961,0.46320135496715537,0.3640664332407516,0.8253534662677547,0.7347424348499394,0.5457447746554651,2394,30,30,15,forecast,target,37251,10363,4919,5444,50008,2394,6796,632,6114,628
fused,7,unsup,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.422717012649653,10.254848179074203,4.7679153927612665,4.7679153927612665,10.254848179074203,0.524731182795699,0.9350286638247832,0.9128325738644716,0.8775510204081632,0.06825396825396825,0.12665684830633284,0.0009719747286570547,6167,6,587,43,0.7365915057637074,0.47711269370950316,0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.0,5476,0,563,69,0.888233234089375,0.6738155861405859,0.9356581532416502,0.8203753351206434,0.48417721518987344,0.608955223880597,0.012235208181154126,5409,67,326,306,0.888233234089375,0.6738155861405859,0.9356581532416502,0.8203753351206434,0.48417721518987344,0.608955223880597,0.012235208181154126,5409,67,326,306,0.888233234089375,0.6738155861405859,0.9356581532416502,0.8203753351206434,0.48417721518987344,0.608955223880597,0.012235208181154126,5409,67,326,306,0.888233234089375,0.6738155861405859,17,0.11764705882352941,2,17,0.8235294117647058,14,17,0.8235294117647058,14,17,0.8235294117647058,14,0.08718314424567528,0.9472609058559944,0.873368270527865,0.6409988285946107,0.13589379818778616,1.0,0.9022624173527436,0.7060073715306906,2394,30,30,15,forecast,target,35749,11865,5537,6328,50008,2394,6803,630,6108,632
fused,7,semisup,,,5,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.422717012649653,16.57888282287286,6.322171109271367,6.322171109271367,16.57888282287286,0.5026511134676565,0.9310598265471116,0.9134205497574599,0.7662337662337663,0.09365079365079365,0.1669024045261669,0.002915924185971164,6155,18,571,59,0.7390121856831724,0.44389885726835293,0.9094629993451212,0.9340659340659341,0.13449367088607594,0.2351313969571231,0.0010956902848794738,5470,6,547,85,0.8289263968895341,0.628055121688017,0.9282907662082515,0.8730769230769231,0.35917721518987344,0.5089686098654709,0.006026296566837106,5443,33,405,227,0.8289263968895341,0.628055121688017,0.9282907662082515,0.8730769230769231,0.35917721518987344,0.5089686098654709,0.006026296566837106,5443,33,405,227,0.8289263968895341,0.628055121688017,0.9282907662082515,0.8730769230769231,0.35917721518987344,0.5089686098654709,0.006026296566837106,5443,33,405,227,0.8289263968895341,0.628055121688017,17,0.17647058823529413,3,17,0.5882352941176471,10,17,0.5882352941176471,10,17,0.5882352941176471,10,0.11009054534319535,0.8635336815438649,0.8096174709571973,0.5932885027093112,0.16331339677068962,0.9694341300493602,0.8486250757106466,0.6634205970879625,2394,30,30,15,forecast,target,35749,11865,5537,6328,50008,2394,6803,630,6108,632
fused,7,hybrid,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.422717012649653,10.254848179074203,4.7679153927612665,4.7679153927612665,10.254848179074203,0.524731182795699,0.9350286638247832,0.9128325738644716,0.8775510204081632,0.06825396825396825,0.12665684830633284,0.0009719747286570547,6167,6,587,43,0.7365915057637074,0.47711269370950316,0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.0,5476,0,563,69,0.888233234089375,0.6738155861405859,0.9356581532416502,0.8203753351206434,0.48417721518987344,0.608955223880597,0.012235208181154126,5409,67,326,306,0.888233234089375,0.6738155861405859,0.9356581532416502,0.8203753351206434,0.48417721518987344,0.608955223880597,0.012235208181154126,5409,67,326,306,0.888233234089375,0.6738155861405859,0.9356581532416502,0.8203753351206434,0.48417721518987344,0.608955223880597,0.012235208181154126,5409,67,326,306,0.888233234089375,0.6738155861405859,17,0.11764705882352941,2,17,0.8235294117647058,14,17,0.8235294117647058,14,17,0.8235294117647058,14,0.08718314424567528,0.9472609058559944,0.873368270527865,0.6409988285946107,0.13589379818778616,1.0,0.9022624173527436,0.7060073715306906,2394,30,30,15,forecast,target,35749,11865,5537,6328,50008,2394,6803,630,6108,632
fused,123,unsup,0.25,20.0,3,0.0,1,"{""kind"": ""gbm"", ""lr"": 0.06, ""leaves"": 31, ""max_iter"": 300, ""l2"": 1.0}",0.1632013846573817,3.9437453130378124,3.9555425863110836,4.494987451679038,3.9437453130378124,0.6077669902912621,0.9363057324840764,0.933692634329577,0.7766749379652605,0.49761526232114467,0.6065891472868217,0.016381507098653072,5404,90,316,313,0.7849291292191568,0.5868150902748429,0.9060659599528857,0.49393939393939396,0.5174603174603175,0.5054263565891473,0.05420318078545926,5828,334,304,326,0.8176357397876385,0.5215955265796584,0.9060659599528857,0.4939209726443769,0.5158730158730159,0.5046583850931677,0.054040895813047704,5829,333,305,325,0.8176357397876385,0.5215955265796584,0.9076855123674912,0.5031055900621118,0.38571428571428573,0.4366576819407008,0.03894839337877312,5922,240,387,243,0.8176357397876385,0.5215955265796584,0.9060659599528857,0.49393939393939396,0.5174603174603175,0.5054263565891473,0.05420318078545926,5828,334,304,326,0.8176357397876385,0.5215955265796584,17,0.5882352941176471,10,17,0.5882352941176471,10,17,0.5882352941176471,10,17,0.5882352941176471,10,0.47845245586040075,0.4559413314758503,0.7983716943405074,0.48140194884765136,0.5562565313692164,0.5320076009200707,0.8387992082769704,0.5614021898000232,2394,30,30,15,forecast,target,38081,9533,4297,5236,50008,2394,6123,629,6792,630
fused,123,semisup,,,12,1.0,1,"{""kind"": ""gbm"", ""lr"": 0.06, ""leaves"": 31, ""max_iter"": 300, ""l2"": 1.0}",0.1632013846573817,3.942456524603477,0.6544209980349568,5.8326938246719084,3.942456524603477,0.2787938704893722,0.9003756328597093,0.8922097011268986,0.4,0.0985691573926868,0.15816326530612246,0.016927557335274842,5401,93,567,62,0.5931231237661783,0.21204386815161447,0.8962014134275619,0.04819277108433735,0.006349206349206349,0.011220196353436185,0.012820512820512818,6083,79,626,4,0.44107226575581004,0.0781257202573711,0.5447585394581861,0.04271916790490342,0.18253968253968253,0.06923540036122817,0.4182083739045764,3585,2577,515,115,0.44107226575581004,0.0781257202573711,0.907243816254417,0.0,0.0,0.0,0.0,6162,0,630,0,0.44107226575581004,0.0781257202573711,0.5447585394581861,0.04271916790490342,0.18253968253968253,0.06923540036122817,0.4182083739045764,3585,2577,515,115,0.44107226575581004,0.0781257202573711,17,0.058823529411764705,1,17,0.4117647058823529,7,17,0.0,0,17,0.4117647058823529,7,0.0024717312035021453,0.01889830967407153,0.42152731515389835,0.07157274016777343,0.01621053894096297,0.11746030186694112,0.4610862782832705,0.08595541232475197,2394,30,30,15,forecast,target,38081,9533,4297,5236,50008,2394,6123,629,6792,630
fused,123,hybrid,0.25,20.0,3,0.25,1,"{""kind"": ""gbm"", ""lr"": 0.06, ""leaves"": 31, ""max_iter"": 300, ""l2"": 1.0}",0.1632013846573817,3.165311071754093,3.5218420910113104,3.5218420910113104,3.165311071754093,0.607645875251509,0.9363057324840764,0.9320594479830149,0.762962962962963,0.4912559618441971,0.597678916827853,0.017473607571896612,5398,96,320,309,0.8248773195560064,0.6002176324116582,0.898851590106007,0.45395799676898224,0.44603174603174606,0.4499599679743795,0.054852320675105475,5824,338,349,281,0.7902337933983504,0.5065380358630873,0.9031213191990577,0.4727626459143969,0.38571428571428573,0.42482517482517484,0.04397922752353131,5891,271,387,243,0.7902337933983504,0.5065380358630873,0.9031213191990577,0.4727626459143969,0.38571428571428573,0.42482517482517484,0.04397922752353131,5891,271,387,243,0.7902337933983504,0.5065380358630873,0.8994405182567726,0.45119705340699817,0.3888888888888889,0.4177323103154305,0.04836092177864329,5864,298,385,245,0.7902337933983504,0.5065380358630873,17,0.5882352941176471,10,17,0.5882352941176471,10,17,0.5882352941176471,10,17,0.5882352941176471,10,0.407659232340837,0.41513992259496285,0.7679930788709499,0.46695574344019636,0.48505844349489236,0.49334403223400164,0.8133063487911218,0.5467612350153778,2394,30,30,15,forecast,target,38081,9533,4297,5236,50008,2394,6123,629,6792,630
fused,2024,unsup,0.0,1.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.5244875241588478,5.551891575783655,5.306679032156223,6.627245328159069,5.551891575783655,0.657483930211203,0.9421433267587114,0.9363905325443787,0.8004926108374384,0.5150554675118859,0.626808100289296,0.014854208692462862,5372,81,306,325,0.8781438153382761,0.6556227823672038,0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.014043583535108957,6108,87,373,257,0.7291581792792446,0.5144105698599363,0.9290842490842491,0.6931216931216931,0.4158730158730159,0.5198412698412699,0.01872477804681194,6079,116,368,262,0.7291581792792446,0.5144105698599363,0.9374358974358974,0.8637992831541219,0.3825396825396825,0.5302530253025303,0.006133979015334946,6157,38,389,241,0.7291581792792446,0.5144105698599363,0.9290842490842491,0.6931216931216931,0.4158730158730159,0.5198412698412699,0.01872477804681194,6079,116,368,262,0.7291581792792446,0.5144105698599363,19,0.5263157894736842,10,19,0.5263157894736842,10,19,0.42105263157894735,8,19,0.5263157894736842,10,0.3702303171131589,0.6986019301744899,0.7031761664602448,0.47501736865755717,0.4467586593124969,0.7901262725476688,0.7535750126978992,0.5510315970111549,2394,30,30,15,forecast,target,37204,10410,5055,5355,50008,2394,6084,631,6825,630
