smooth,alpha,topk,scorer,sweep_split,VAL_Accuracy,VAL_Precision,VAL_Recall,VAL_F1,VAL_FPR,VAL_TN,VAL_FP,VAL_FN,VAL_TP,VAL_ROC-AUC,VAL_PR-AUC
1,0.0,20,unsup,VAL,0.9343731606827546,0.7348484848484849,0.46044303797468356,0.566147859922179,0.017034393251135625,6059,105,341,291,0.85143036537182,0.6285446815973578
2,0.0,20,unsup,VAL,0.9373160682754561,0.7417840375586855,0.5,0.5973534971644613,0.017845554834523034,6054,110,316,316,0.8534841956973526,0.6401528630607516
3,0.0,20,unsup,VAL,0.9376103590347263,0.744131455399061,0.5015822784810127,0.5992438563327032,0.017683322517845552,6055,109,315,317,0.8533145191762705,0.6416663945425981
5,0.0,20,unsup,VAL,0.9365803413772807,0.7353629976580797,0.49683544303797467,0.5930122757318225,0.01833225178455548,6051,113,318,314,0.8513071509540903,0.6356682081603241
8,0.0,20,unsup,VAL,0.9362860506180106,0.7330210772833724,0.495253164556962,0.591123701605288,0.01849448410123296,6050,114,319,313,0.8460985181412695,0.6161252926982845
12,0.0,20,unsup,VAL,0.9336374337845792,0.7180722891566265,0.47151898734177217,0.5692454632282713,0.01898118105126541,6047,117,334,298,0.8393707542365225,0.5865351786121612
20,0.0,20,unsup,VAL,0.9256915832842849,0.6759002770083102,0.3860759493670886,0.4914400805639476,0.01898118105126541,6047,117,388,244,0.8276830966247465,0.5104887408994194
30,0.0,20,unsup,VAL,0.9072984108298999,0.5042372881355932,0.18829113924050633,0.27419354838709675,0.01898118105126541,6047,117,513,119,0.815383730768283,0.424997678845827
40,0.0,20,unsup,VAL,0.9061212477928193,0.4868421052631579,0.17563291139240506,0.25813953488372093,0.01898118105126541,6047,117,521,111,0.8106941386901486,0.38354304935911615
