criterion,criterion_value,mode,scorer,seed,alpha,topk,smooth,beta,hyst_mult,head,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_ROC-AUC,TEST_PR-AUC,TESTOP_Accuracy,TESTOP_F1,TESTACC_Accuracy,TESTACC_F1,TESTHY_Accuracy,TESTHY_F1,TEST_EventRecall
TEST_Accuracy,0.9295238095238095,fused,semisup,2024,,,2,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9295238095238095,0.7475083056478405,0.35714285714285715,0.4833512352309345,0.6711892591311477,0.44877893857741424,0.9065201465201466,0.43439716312056736,0.9227838827838828,0.4671385237613751,0.9065201465201466,0.43439716312056736,0.47368421052631576
TESTACC_Accuracy,0.9282907662082515,fused,semisup,7,,,5,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9094629993451212,0.9340659340659341,0.13449367088607594,0.2351313969571231,0.8289263968895341,0.628055121688017,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.17647058823529413
TESTOP_Accuracy,0.9282907662082515,fused,semisup,7,,,5,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9094629993451212,0.9340659340659341,0.13449367088607594,0.2351313969571231,0.8289263968895341,0.628055121688017,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.17647058823529413
TESTHY_Accuracy,0.9282907662082515,fused,semisup,7,,,5,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9094629993451212,0.9340659340659341,0.13449367088607594,0.2351313969571231,0.8289263968895341,0.628055121688017,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.17647058823529413
TEST_F1,0.4833512352309345,fused,semisup,2024,,,2,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9295238095238095,0.7475083056478405,0.35714285714285715,0.4833512352309345,0.6711892591311477,0.44877893857741424,0.9065201465201466,0.43439716312056736,0.9227838827838828,0.4671385237613751,0.9065201465201466,0.43439716312056736,0.47368421052631576
TESTOP_F1,0.5216,fused,semisup,42,,,3,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9167484461890743,0.7044673539518901,0.32643312101910826,0.44613710554951036,0.7053910823381346,0.492357946400088,0.9021916912005233,0.5216,0.9142950605168466,0.2975871313672922,0.9021916912005233,0.5216,0.625
TESTACC_F1,0.5089686098654709,fused,semisup,7,,,5,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9094629993451212,0.9340659340659341,0.13449367088607594,0.2351313969571231,0.8289263968895341,0.628055121688017,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.17647058823529413
TESTHY_F1,0.5216,fused,semisup,42,,,3,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9167484461890743,0.7044673539518901,0.32643312101910826,0.44613710554951036,0.7053910823381346,0.492357946400088,0.9021916912005233,0.5216,0.9142950605168466,0.2975871313672922,0.9021916912005233,0.5216,0.625
TEST_ROC-AUC,0.8289263968895341,fused,semisup,7,,,5,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9094629993451212,0.9340659340659341,0.13449367088607594,0.2351313969571231,0.8289263968895341,0.628055121688017,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.17647058823529413
TEST_PR-AUC,0.628055121688017,fused,semisup,7,,,5,1.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9094629993451212,0.9340659340659341,0.13449367088607594,0.2351313969571231,0.8289263968895341,0.628055121688017,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.9282907662082515,0.5089686098654709,0.17647058823529413
TEST_Accuracy,0.9326007326007326,fused,unsup,2024,0.0,1.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.7291581792792446,0.5144105698599363,0.9290842490842491,0.5198412698412699,0.9374358974358974,0.5302530253025303,0.9290842490842491,0.5198412698412699,0.5263157894736842
TESTACC_Accuracy,0.9374358974358974,fused,unsup,2024,0.0,1.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.7291581792792446,0.5144105698599363,0.9290842490842491,0.5198412698412699,0.9374358974358974,0.5302530253025303,0.9290842490842491,0.5198412698412699,0.5263157894736842
TESTOP_Accuracy,0.9356581532416502,fused,unsup,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TESTHY_Accuracy,0.9356581532416502,fused,unsup,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
TEST_F1,0.5277207392197125,fused,unsup,2024,0.0,1.0,5,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.9326007326007326,0.747093023255814,0.40793650793650793,0.5277207392197125,0.7291581792792446,0.5144105698599363,0.9290842490842491,0.5198412698412699,0.9374358974358974,0.5302530253025303,0.9290842490842491,0.5198412698412699,0.5263157894736842
TESTOP_F1,0.608955223880597,fused,unsup,7,0.0,5.0,2,0.0,1,"{""kind"": ""logreg"", ""C"": 0.05}",0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.888233234089375,0.6738155861405859,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.9356581532416502,0.608955223880597,0.11764705882352941
