alpha,topk,smooth,scorer,sweep_split,VAL_Accuracy,VAL_Precision,VAL_Recall,VAL_F1,VAL_FPR,VAL_TN,VAL_FP,VAL_FN,VAL_TP,VAL_ROC-AUC,VAL_PR-AUC
0.0,1,5,unsup,VAL,0.9226015303119482,0.6743421052631579,0.32436708860759494,0.43803418803418803,0.01606099935107073,6065,99,427,205,0.8083920826522313,0.5377057122003986
0.1,1,5,unsup,VAL,0.922307239552678,0.6710526315789473,0.3227848101265823,0.4358974358974359,0.016223231667748212,6064,100,428,204,0.8080468255858846,0.5368510047541782
0.25,1,5,unsup,VAL,0.9205414949970571,0.6483870967741936,0.3180379746835443,0.4267515923566879,0.017683322517845552,6055,109,431,201,0.8067309982832126,0.531480385732172
0.5,1,5,unsup,VAL,0.9177457327839906,0.622895622895623,0.2927215189873418,0.3982777179763186,0.018170019467878,6052,112,447,185,0.796621768701895,0.4723681568473674
0.75,1,5,unsup,VAL,0.9036197763390229,0.4385026737967914,0.12974683544303797,0.20024420024420025,0.017034393251135625,6059,105,550,82,0.7677541708080402,0.27484388144570415
0.9,1,5,unsup,VAL,0.892583872866392,0.0,0.0,0.0,0.01589876703439325,6066,98,632,0,0.7321672800006572,0.18326157938987528
1.0,1,5,unsup,VAL,0.8928781636256622,0.0,0.0,0.0,0.015574302401038284,6068,96,632,0,0.7051535457002275,0.16116105151130047
