loss,val_loss,learning_rate
0.16661205887794495,0.19453902542591095,0.0003000000142492354
0.06998742371797562,0.09589618444442749,0.0003000000142492354
0.051465969532728195,0.05034452676773071,0.0003000000142492354
0.040535930544137955,0.03632958605885506,0.0003000000142492354
0.03302616626024246,0.02996600605547428,0.0003000000142492354
0.02685439959168434,0.025025827810168266,0.0003000000142492354
0.022424886003136635,0.020256616175174713,0.0003000000142492354
0.020210344344377518,0.017401237040758133,0.0003000000142492354
0.01885373145341873,0.016281956806778908,0.0003000000142492354
0.017780788242816925,0.0158487930893898,0.0003000000142492354
0.01692565530538559,0.015075287781655788,0.0003000000142492354
0.01657049171626568,0.014607954770326614,0.0003000000142492354
0.015803305432200432,0.014401012100279331,0.0003000000142492354
0.015542589128017426,0.013955360278487206,0.0003000000142492354
0.01489882729947567,0.013400968164205551,0.0003000000142492354
0.014690081588923931,0.013215242885053158,0.0003000000142492354
0.014067668467760086,0.01252023596316576,0.0003000000142492354
0.014055938459932804,0.012280614115297794,0.0003000000142492354
0.013712368905544281,0.011902649886906147,0.0003000000142492354
0.013393528759479523,0.011812766082584858,0.0003000000142492354
0.013275564648211002,0.011791300028562546,0.0003000000142492354
0.012768915854394436,0.011319989338517189,0.0003000000142492354
0.012357300147414207,0.011276994831860065,0.0003000000142492354
0.012215870432555676,0.01097441278398037,0.0003000000142492354
0.01195363700389862,0.011311264708638191,0.0003000000142492354
0.01191144809126854,0.010716103948652744,0.0003000000142492354
0.011720290407538414,0.010969292372465134,0.0003000000142492354
0.011523140594363213,0.01034165546298027,0.0003000000142492354
0.0114802997559309,0.010367702692747116,0.0003000000142492354
0.011046839877963066,0.010211724787950516,0.0003000000142492354
0.010946596972644329,0.010058782994747162,0.0003000000142492354
0.010898604057729244,0.010170232504606247,0.0003000000142492354
0.010567494668066502,0.010302228853106499,0.0003000000142492354
0.010700530372560024,0.009932461194694042,0.0003000000142492354
0.01049885991960764,0.010252687148749828,0.0003000000142492354
0.010343187488615513,0.009799265302717686,0.0003000000142492354
0.010262412019073963,0.009838872589170933,0.0003000000142492354
0.010212154127657413,0.009426059201359749,0.0003000000142492354
0.010179157368838787,0.00962082576006651,0.0003000000142492354
0.010046741925179958,0.009630848653614521,0.0003000000142492354
0.009735829196870327,0.0100335031747818,0.0003000000142492354
0.010132425464689732,0.009607812389731407,0.0003000000142492354
0.009651616215705872,0.009307822212576866,0.0001500000071246177
0.009705551899969578,0.009126484394073486,0.0001500000071246177
0.009471637196838856,0.009154489263892174,0.0001500000071246177
0.009232336655259132,0.00902952253818512,0.0001500000071246177
0.009396367706358433,0.009142321534454823,0.0001500000071246177
0.00941507425159216,0.00905833300203085,0.0001500000071246177
0.009142858907580376,0.008992059156298637,7.500000356230885e-05
0.009138897992670536,0.008920473046600819,7.500000356230885e-05
0.009135504253208637,0.008888652548193932,7.500000356230885e-05
0.009405447170138359,0.008906549774110317,7.500000356230885e-05
0.009235721081495285,0.009008816443383694,7.500000356230885e-05
0.00909009575843811,0.008881958201527596,7.500000356230885e-05
0.00895712710916996,0.008870613761246204,7.500000356230885e-05
0.008897215127944946,0.008769220672547817,3.7500001781154424e-05
0.008947841823101044,0.008801310323178768,3.7500001781154424e-05
0.009122244082391262,0.008756485767662525,3.7500001781154424e-05
0.00896123331040144,0.008786127902567387,3.7500001781154424e-05
0.009132470935583115,0.008736276999115944,3.7500001781154424e-05
