mode,seed,scorer,target_FPR,threshold,TEST_Accuracy,TEST_Precision,TEST_Recall,TEST_F1,TEST_FPR,TEST_TN,TEST_FP,TEST_FN,TEST_TP,TEST_ROC-AUC,TEST_PR-AUC
fused,7,hybrid,0.01,10.254848179074203,0.907825802226588,1.0,0.10917721518987342,0.19686162624821682,0.0,5476,0,563,69,0.888233234089375,0.6738155861405859
fused,7,hybrid,0.02,6.408368572254859,0.9276358873608382,0.9398148148148148,0.3212025316455696,0.47877358490566035,0.00237399561723886,5463,13,429,203,0.888233234089375,0.6738155861405859
fused,7,hybrid,0.05,4.363011597859669,0.9402423051735429,0.801354401805869,0.5617088607594937,0.6604651162790698,0.016070124178232285,5388,88,277,355,0.888233234089375,0.6738155861405859
fused,7,hybrid,0.1,2.796182246519948,0.912573673870334,0.5720588235294117,0.615506329113924,0.5929878048780488,0.053140978816654486,5185,291,243,389,0.888233234089375,0.6738155861405859
fused,123,unsup,0.001,8.078289118000438,0.9322732626619552,0.8512396694214877,0.326984126984127,0.4724770642201835,0.005842259006815968,6126,36,424,206,0.8176357397876385,0.5215955265796584
fused,123,unsup,0.002,5.978541896055475,0.9262367491166078,0.6984615384615385,0.3603174603174603,0.47539267015706804,0.015903927296332356,6064,98,403,227,0.8176357397876385,0.5215955265796584
fused,123,unsup,0.005,4.619966186618148,0.910924617196702,0.527114967462039,0.38571428571428573,0.4454628780934922,0.03537812398571892,5944,218,387,243,0.8176357397876385,0.5215955265796584
fused,123,unsup,0.01,3.9437453130378124,0.9060659599528857,0.49393939393939396,0.5174603174603175,0.5054263565891473,0.05420318078545926,5828,334,304,326,0.8176357397876385,0.5215955265796584
fused,123,unsup,0.02,3.1109307804569375,0.8858951707891637,0.4110429447852761,0.5317460317460317,0.46366782006920415,0.07789678675754624,5682,480,295,335,0.8176357397876385,0.5215955265796584
fused,123,unsup,0.05,2.074569212293827,0.8490871613663133,0.32599118942731276,0.5873015873015873,0.4192634560906516,0.12414800389483932,5397,765,260,370,0.8176357397876385,0.5215955265796584
fused,123,unsup,0.1,1.5420721567176634,0.8177267373380448,0.29149519890260633,0.6746031746031746,0.407088122605364,0.16764037650113597,5129,1033,205,425,0.8176357397876385,0.5215955265796584
fused,123,semisup,0.001,5.173889936350976,0.9063604240282686,0.0,0.0,0.0,0.000973709834469328,6156,6,630,0,0.44107226575581004,0.0781257202573711
fused,123,semisup,0.002,4.859285802276721,0.9057714958775029,0.0,0.0,0.0,0.0016228497241155466,6152,10,630,0,0.44107226575581004,0.0781257202573711
fused,123,semisup,0.005,4.406255060816112,0.9020906949352179,0.0,0.0,0.0,0.005679974034404413,6127,35,630,0,0.44107226575581004,0.0781257202573711
fused,123,semisup,0.01,3.942456524603477,0.8962014134275619,0.04819277108433735,0.006349206349206349,0.011220196353436185,0.012820512820512818,6083,79,626,4,0.44107226575581004,0.0781257202573711
fused,123,semisup,0.02,3.2480093832214,0.8854534746760895,0.08888888888888889,0.025396825396825397,0.03950617283950617,0.026614735475494967,5998,164,614,16,0.44107226575581004,0.0781257202573711
