,,,TEST_Accuracy,TEST_Accuracy,TEST_Accuracy,TEST_Precision,TEST_Precision,TEST_Precision,TEST_Recall,TEST_Recall,TEST_Recall,TEST_F1,TEST_F1,TEST_F1,TEST_FPR,TEST_FPR,TEST_FPR,TEST_TN,TEST_TN,TEST_TN,TEST_FP,TEST_FP,TEST_FP,TEST_FN,TEST_FN,TEST_FN,TEST_TP,TEST_TP,TEST_TP,TEST_ROC-AUC,TEST_ROC-AUC,TEST_ROC-AUC,TEST_PR-AUC,TEST_PR-AUC,TEST_PR-AUC
,,,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max,mean,std,max
mode,scorer,target_FPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fused,unsup,0.01,0.9151,0.0106,0.9326,0.7707,0.1887,1.0,0.2788,0.1918,0.5175,0.3547,0.1829,0.5277,0.0162,0.0221,0.0542,5802.6,350.054,6181,98.6,136.8459,334,455.2,122.2547,591,175.6,120.6723,326,0.7927,0.066,0.8882,0.5257,0.0939,0.6738
fused,unsup,0.02,0.9152,0.0176,0.9285,0.7046,0.2042,0.9398,0.3657,0.1832,0.5317,0.4304,0.1749,0.5802,0.0259,0.0312,0.0779,5744.4,348.4685,6178,156.8,193.1844,480,400.4,117.138,590,230.4,115.0839,335,0.7927,0.066,0.8882,0.5257,0.0939,0.6738
fused,unsup,0.05,0.9013,0.0331,0.9402,0.568,0.1915,0.8014,0.4506,0.2033,0.5873,0.45,0.1831,0.6605,0.0506,0.0471,0.1241,5597.6,387.925,6163,303.6,292.8401,765,346.8,129.658,575,284.0,128.0,370,0.7927,0.066,0.8882,0.5257,0.0939,0.6738
fused,unsup,0.1,0.87,0.0414,0.9126,0.4493,0.1776,0.6977,0.4932,0.2301,0.6746,0.401,0.1532,0.593,0.0899,0.0628,0.1676,5368.2,488.3126,6161,533.0,389.0559,1033,320.0,146.4872,574,310.8,144.8817,425,0.7927,0.066,0.8882,0.5257,0.0939,0.6738
net_only,hybrid,0.001,0.8995,0.0059,0.9069,0.0206,0.0461,0.1032,0.0041,0.0092,0.0206,0.0069,0.0154,0.0344,0.0045,0.0079,0.0183,5873.4,362.1226,6186,27.8,48.8129,113,628.2,6.6483,634,2.6,5.8138,13,0.4098,0.0754,0.4675,0.0948,0.0254,0.1279
net_only,hybrid,0.002,0.8984,0.0061,0.9062,0.0182,0.0407,0.0909,0.0041,0.0092,0.0206,0.0067,0.015,0.0336,0.0057,0.009,0.0211,5866.0,355.9501,6181,35.2,55.5446,130,628.2,6.6483,634,2.6,5.8138,13,0.4098,0.0754,0.4675,0.0948,0.0254,0.1279
net_only,hybrid,0.005,0.8954,0.0056,0.9024,0.0319,0.0437,0.0804,0.007,0.0098,0.0206,0.0114,0.0159,0.0327,0.0093,0.0109,0.0245,5843.8,335.5737,6155,57.4,67.0097,151,626.4,7.2319,634,4.4,6.1887,13,0.4098,0.0754,0.4675,0.0948,0.0254,0.1279
net_only,hybrid,0.01,0.8863,0.0154,0.8968,0.0346,0.0571,0.1315,0.0149,0.023,0.0524,0.0208,0.0328,0.0749,0.0201,0.0229,0.0526,5777.0,291.5159,6117,124.2,141.7187,324,621.4,15.3232,634,9.4,14.519,33,0.4098,0.0754,0.4675,0.0948,0.0254,0.1279
net_only,hybrid,0.02,0.872,0.0281,0.8964,0.0446,0.0586,0.1333,0.034,0.0461,0.0921,0.0375,0.0514,0.1089,0.0378,0.0394,0.0954,5669.6,268.5094,6064,231.6,244.7301,588,609.4,29.8965,634,21.4,29.0654,58,0.4098,0.0754,0.4675,0.0948,0.0254,0.1279
net_only,hybrid,0.05,0.8393,0.0653,0.8955,0.1556,0.1787,0.45,0.0657,0.0449,0.1127,0.0706,0.0438,0.1104,0.0774,0.0788,0.1994,5429.2,385.147,5993,472.0,489.902,1229,589.4,30.1712,634,41.4,28.2896,71,0.4098,0.0754,0.4675,0.0948,0.0254,0.1279
net_only,hybrid,0.1,0.7808,0.0903,0.8955,0.1597,0.1654,0.45,0.1665,0.1326,0.3201,0.1091,0.0597,0.1833,0.1533,0.115,0.2486,4989.6,678.9155,5856,911.6,679.1843,1526,526.0,85.4166,620,104.8,83.2778,201,0.4098,0.0754,0.4675,0.0948,0.0254,0.1279
net_only,semisup,0.001,0.8995,0.0059,0.9069,0.0206,0.0461,0.1032,0.0041,0.0092,0.0206,0.0069,0.0154,0.0344,0.0045,0.0079,0.0183,5873.4,362.1226,6186,27.8,48.8129,113,628.2,6.6483,634,2.6,5.8138,13,0.4186,0.0935,0.5395,0.1173,0.0592,0.2088
net_only,semisup,0.002,0.8988,0.006,0.9062,0.2182,0.4388,1.0,0.0079,0.0109,0.0206,0.0142,0.0195,0.0375,0.0057,0.009,0.0211,5866.0,355.9501,6181,35.2,55.5446,130,625.8,8.6139,634,5.0,6.8557,13,0.4186,0.0935,0.5395,0.1173,0.0592,0.2088
net_only,semisup,0.005,0.8956,0.0058,0.9024,0.1599,0.2713,0.64,0.0121,0.0117,0.0255,0.0212,0.0213,0.049,0.0096,0.0106,0.0245,5842.2,337.7169,6155,59.0,65.4026,151,623.2,9.5237,634,7.6,7.3689,16,0.4186,0.0935,0.5395,0.1173,0.0592,0.2088
net_only,semisup,0.01,0.8864,0.0155,0.8968,0.2257,0.2398,0.5455,0.0219,0.0198,0.0524,0.0341,0.0287,0.0749,0.0208,0.0222,0.0526,5773.2,296.4291,6117,128.0,137.8713,324,617.0,14.1067,634,13.8,12.498,33,0.4186,0.0935,0.5395,0.1173,0.0592,0.2088
net_only,semisup,0.02,0.8737,0.0294,0.8955,0.2195,0.2106,0.4486,0.0559,0.0378,0.0921,0.076,0.0499,0.1306,0.0384,0.0386,0.0954,5666.2,271.3931,6064,235.0,240.3861,588,595.6,25.8225,634,35.2,23.7739,58,0.4186,0.0935,0.5395,0.1173,0.0592,0.2088
net_only,semisup,0.05,0.8406,0.066,0.8915,0.1575,0.1573,0.3578,0.0753,0.0465,0.1127,0.0851,0.058,0.156,0.0771,0.0785,0.1994,5431.2,381.2462,5993,470.0,488.7796,1229,583.4,31.3417,634,47.4,29.2284,71,0.4186,0.0935,0.5395,0.1173,0.0592,0.2088
net_only,semisup,0.1,0.8142,0.0869,0.8905,0.1728,0.1383,0.3391,0.1334,0.0973,0.2683,0.1152,0.0587,0.1874,0.1122,0.1084,0.2476,5215.0,472.0307,5856,686.2,675.9646,1526,546.8,62.763,620,84.0,61.2209,169,0.4186,0.0935,0.5395,0.1173,0.0592,0.2088
net_only,unsup,0.001,0.8907,0.0101,0.9002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0157,0.0315,5816.4,312.648,6140,84.8,96.668,194,630.8,2.2804,634,0.0,0.0,0,0.5289,0.0763,0.6412,0.1198,0.0215,0.1432
net_only,unsup,0.002,0.8888,0.0096,0.8973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159,0.016,0.0321,5803.2,297.9408,6093,98.0,99.0252,198,630.8,2.2804,634,0.0,0.0,0,0.5289,0.0763,0.6412,0.1198,0.0215,0.1432
net_only,unsup,0.005,0.8766,0.0196,0.8973,0.0018,0.0041,0.0092,0.001,0.0021,0.0048,0.0013,0.0028,0.0063,0.0293,0.0278,0.0568,5719.8,223.0699,5956,181.4,171.5453,352,630.2,2.8636,634,0.6,1.3416,3,0.5289,0.0763,0.6412,0.1198,0.0215,0.1432
net_only,unsup,0.01,0.8651,0.0286,0.8965,0.0118,0.0202,0.0466,0.0086,0.0151,0.0349,0.0099,0.0173,0.0399,0.0429,0.0386,0.0743,5636.4,147.6188,5781,264.8,238.9586,460,625.4,9.8387,632,5.4,9.5289,22,0.5289,0.0763,0.6412,0.1198,0.0215,0.1432
net_only,unsup,0.02,0.8564,0.0328,0.8965,0.0229,0.0195,0.0521,0.0171,0.0176,0.0429,0.0188,0.0191,0.047,0.0533,0.0437,0.0957,5573.2,122.7994,5700,328.0,272.3692,593,620.0,11.0,632,10.8,11.0995,27,0.5289,0.0763,0.6412,0.1198,0.0215,0.1432
net_only,unsup,0.05,0.8453,0.0296,0.8831,0.1384,0.0485,0.1885,0.1009,0.064,0.2079,0.1046,0.0422,0.1729,0.0745,0.0435,0.1217,5448.8,133.1248,5600,452.4,278.9835,754,567.2,40.7578,609,63.6,40.284,131,0.5289,0.0763,0.6412,0.1198,0.0215,0.1432
net_only,unsup,0.1,0.7679,0.0619,0.82,0.1404,0.0382,0.1848,0.2733,0.1146,0.3987,0.1818,0.0547,0.2353,0.1798,0.0749,0.2721,4862.4,742.393,5457,1038.8,364.8009,1490,458.4,72.383,566,172.4,72.2655,252,0.5289,0.0763,0.6412,0.1198,0.0215,0.1432
sen_only,hybrid,0.001,0.9156,0.0195,0.9367,0.545,0.5004,0.9541,0.1429,0.1737,0.3333,0.216,0.255,0.4935,0.0009,0.0009,0.0018,5895.6,381.9408,6187,5.6,5.3198,11,540.8,110.4047,634,90.0,109.4166,210,0.808,0.0586,0.8813,0.5857,0.0747,0.6935
sen_only,hybrid,0.002,0.922,0.0217,0.9488,0.5499,0.5022,0.9388,0.2201,0.2251,0.5063,0.3069,0.2987,0.6471,0.0022,0.0026,0.006,5887.6,375.9851,6187,13.6,15.884,37,492.2,143.2941,634,138.6,141.8196,319,0.808,0.0586,0.8813,0.5857,0.0747,0.6935
sen_only,hybrid,0.005,0.9231,0.0211,0.9466,0.7161,0.405,1.0,0.2497,0.2363,0.5127,0.3345,0.3094,0.6402,0.0043,0.0041,0.0091,5875.6,377.884,6187,25.6,24.7548,56,473.6,150.5467,634,157.2,148.7874,323,0.808,0.0586,0.8813,0.5857,0.0747,0.6935
sen_only,hybrid,0.01,0.9252,0.0162,0.9396,0.6695,0.3868,1.0,0.3063,0.2355,0.5175,0.3931,0.2787,0.6148,0.0084,0.0079,0.0172,5851.2,371.5046,6187,50.0,47.8957,106,438.0,150.2465,634,192.8,148.1391,326,0.808,0.0586,0.8813,0.5857,0.0747,0.6935
sen_only,hybrid,0.02,0.9225,0.0051,0.9274,0.745,0.1442,0.9556,0.3651,0.1805,0.5286,0.4508,0.167,0.5746,0.0178,0.015,0.0318,5795.8,377.4118,6175,105.4,88.9089,196,400.8,115.4587,573,230.0,113.3292,333,0.808,0.0586,0.8813,0.5857,0.0747,0.6935
sen_only,hybrid,0.05,0.9151,0.0236,0.9418,0.6346,0.2252,0.9278,0.5033,0.058,0.5492,0.5404,0.063,0.6395,0.0409,0.0305,0.0685,5660.0,408.6153,6167,241.2,180.9398,380,313.4,37.6338,377,317.4,35.7673,346,0.808,0.0586,0.8813,0.5857,0.0747,0.6935
sen_only,hybrid,0.1,0.8861,0.0373,0.9409,0.5072,0.2315,0.9024,0.5836,0.1124,0.6804,0.5064,0.0678,0.5935,0.0818,0.0486,0.1269,5423.4,524.6154,6159,477.8,284.572,722,262.8,71.601,375,368.0,70.4095,430,0.808,0.0586,0.8813,0.5857,0.0747,0.6935
sen_only,semisup,0.001,0.909,0.0105,0.9199,0.5379,0.4926,0.9368,0.0683,0.0718,0.1444,0.1199,0.1241,0.2497,0.0007,0.0007,0.0013,5897.0,383.2029,6189,4.2,3.8987,8,587.8,46.6015,634,43.0,45.2272,91,0.7584,0.1042,0.8788,0.5006,0.1993,0.688
sen_only,semisup,0.002,0.9175,0.0161,0.9354,0.5485,0.5009,0.9375,0.1668,0.1581,0.3349,0.2541,0.2372,0.489,0.0017,0.0017,0.0036,5891.0,378.7354,6187,10.2,10.5451,22,525.8,101.3198,634,105.0,99.5766,211,0.7584,0.1042,0.8788,0.5006,0.1993,0.688
sen_only,semisup,0.005,0.9193,0.0174,0.9358,0.7058,0.4004,1.0,0.2104,0.1928,0.3714,0.2971,0.2709,0.5166,0.0043,0.0035,0.0071,5875.4,377.7053,6181,25.8,21.0761,44,498.4,123.3017,634,132.4,121.4055,234,0.7584,0.1042,0.8788,0.5006,0.1993,0.688
sen_only,semisup,0.01,0.9235,0.0136,0.9342,0.6647,0.3834,0.9896,0.2843,0.2008,0.4729,0.381,0.2484,0.5964,0.008,0.0067,0.0146,5853.6,375.4788,6178,47.6,39.9475,90,451.8,128.4278,634,179.0,126.2082,297,0.7584,0.1042,0.8788,0.5006,0.1993,0.688
sen_only,semisup,0.02,0.9215,0.0114,0.9335,0.5865,0.3492,0.9375,0.3468,0.2126,0.5032,0.423,0.2427,0.5741,0.017,0.0129,0.0312,5800.8,383.181,6158,100.4,74.7081,171,412.4,135.8411,634,218.4,133.6967,316,0.7584,0.1042,0.8788,0.5006,0.1993,0.688
sen_only,semisup,0.05,0.9093,0.0206,0.9419,0.4761,0.2971,0.8489,0.4292,0.2387,0.5621,0.4437,0.252,0.655,0.0398,0.0246,0.0696,5666.6,396.1348,6074,234.6,140.5678,382,360.4,152.2048,632,270.4,150.3606,353,0.7584,0.1042,0.8788,0.5006,0.1993,0.688
sen_only,semisup,0.1,0.8714,0.0286,0.9052,0.3347,0.1731,0.5322,0.5028,0.2737,0.693,0.396,0.2167,0.6021,0.0898,0.0427,0.1462,5376.2,501.6051,5989,525.0,239.1391,802,314.0,174.1307,621,316.8,172.5129,438,0.7584,0.1042,0.8788,0.5006,0.1993,0.688
sen_only,unsup,0.001,0.9154,0.0192,0.9365,0.5398,0.4952,0.9502,0.1426,0.1732,0.3333,0.215,0.2536,0.4935,0.0011,0.0011,0.0026,5894.4,380.812,6187,6.8,6.9785,16,541.0,110.1363,634,89.8,109.1476,210,0.8076,0.0593,0.8813,0.5845,0.0757,0.6935
sen_only,unsup,0.002,0.9222,0.022,0.9488,0.5481,0.5006,0.9388,0.2243,0.2288,0.5063,0.3107,0.3024,0.6471,0.0024,0.0027,0.006,5886.8,375.2295,6187,14.4,16.5015,37,489.6,145.6204,634,141.2,144.1517,319,0.8076,0.0593,0.8813,0.5845,0.0757,0.6935
sen_only,unsup,0.005,0.9229,0.021,0.9466,0.7152,0.4045,1.0,0.2485,0.2352,0.5127,0.3331,0.3082,0.6402,0.0043,0.0041,0.0091,5875.4,377.6967,6187,25.8,24.8636,56,474.4,149.9076,634,156.4,148.1462,323,0.8076,0.0593,0.8813,0.5845,0.0757,0.6935
sen_only,unsup,0.01,0.9253,0.0163,0.9396,0.6712,0.3873,1.0,0.306,0.2353,0.5175,0.3932,0.2788,0.6148,0.0082,0.0078,0.0172,5852.0,372.2237,6187,49.2,47.3413,106,438.2,150.1339,634,192.6,148.0263,326,0.8076,0.0593,0.8813,0.5845,0.0757,0.6935
sen_only,unsup,0.02,0.9223,0.0049,0.9274,0.7431,0.1459,0.9556,0.3638,0.18,0.5286,0.4493,0.1663,0.5746,0.0179,0.0151,0.0318,5795.0,376.7446,6175,106.2,89.3823,196,401.6,115.136,573,229.2,113.0075,333,0.8076,0.0593,0.8813,0.5845,0.0757,0.6935
sen_only,unsup,0.05,0.9147,0.0239,0.9418,0.632,0.2277,0.9278,0.4951,0.0614,0.5492,0.5351,0.0699,0.6395,0.0405,0.0303,0.0685,5662.4,409.9187,6167,238.8,179.0061,380,318.6,39.6522,377,312.2,38.0224,346,0.8076,0.0593,0.8813,0.5845,0.0757,0.6935
sen_only,unsup,0.1,0.8855,0.0375,0.9409,0.5043,0.2335,0.9024,0.5772,0.1155,0.6804,0.5022,0.0723,0.5935,0.0818,0.0486,0.1269,5423.2,524.5128,6159,478.0,284.641,722,266.8,73.5439,375,364.0,72.4396,430,0.8076,0.0593,0.8813,0.5845,0.0757,0.6935
