loss,network_pred_loss,sensor_pred_loss,val_loss,val_network_pred_loss,val_sensor_pred_loss,learning_rate
0.7027105689048767,0.3734320402145386,0.3301546573638916,0.4148903489112854,0.17083095014095306,0.26179230213165283,0.0003000000142492354
0.2657235860824585,0.16720999777317047,0.09837885200977325,0.23356617987155914,0.11831039190292358,0.1317674070596695,0.0003000000142492354
0.21327415108680725,0.14078205823898315,0.07252376526594162,0.17688588798046112,0.10699242353439331,0.08576962351799011,0.0003000000142492354
0.1928841471672058,0.13134673237800598,0.061470821499824524,0.1602882295846939,0.1047702431678772,0.07110743224620819,0.0003000000142492354
0.17934833467006683,0.12480425834655762,0.05469507724046707,0.15076690912246704,0.10283017158508301,0.06302031874656677,0.0003000000142492354
0.1676820069551468,0.11846649646759033,0.04927799105644226,0.13743972778320312,0.10123542696237564,0.05075811967253685,0.0003000000142492354
0.1533236801624298,0.11054787784814835,0.04280142858624458,0.12413478642702103,0.09576599299907684,0.04225660860538483,0.0003000000142492354
0.13891686499118805,0.10172200202941895,0.037028998136520386,0.11904983222484589,0.09124376624822617,0.04029383137822151,0.0003000000142492354
0.12503325939178467,0.0942850410938263,0.03077874146401882,0.11543557792901993,0.0863056629896164,0.04052446782588959,0.0003000000142492354
0.11480803787708282,0.08929825574159622,0.025457533076405525,0.10160522907972336,0.08337096124887466,0.028857603669166565,0.0003000000142492354
0.10837415605783463,0.08566033095121384,0.02279668301343918,0.09584487974643707,0.08007512986660004,0.026142753660678864,0.0003000000142492354
0.1043807864189148,0.08301892876625061,0.021420305594801903,0.09192201495170593,0.07756797969341278,0.024437379091978073,0.0003000000142492354
0.10148237645626068,0.0813150554895401,0.020265493541955948,0.089789979159832,0.07606292515993118,0.023538200184702873,0.0003000000142492354
0.09841616451740265,0.0792265310883522,0.01916910894215107,0.08571205288171768,0.0732051283121109,0.022272193804383278,0.0003000000142492354
0.09642494469881058,0.07802778482437134,0.01847083680331707,0.08493819087743759,0.07301850616931915,0.02140500769019127,0.0003000000142492354
0.09490015357732773,0.07663923501968384,0.018328145146369934,0.08396188914775848,0.07220356166362762,0.021105913445353508,0.0003000000142492354
0.09317749738693237,0.07563889026641846,0.017442021518945694,0.08250382542610168,0.07122039049863815,0.020498719066381454,0.0003000000142492354
0.09155533462762833,0.07443151623010635,0.01714966632425785,0.08217080682516098,0.07077524065971375,0.02041606232523918,0.0003000000142492354
0.09009961038827896,0.07342294603586197,0.016697032377123833,0.08097586035728455,0.0702197253704071,0.019552553072571754,0.0003000000142492354
0.08874651044607162,0.07256083935499191,0.016188209876418114,0.08043600618839264,0.07010240107774734,0.018969004973769188,0.0003000000142492354
0.08746315538883209,0.0712679997086525,0.016097061336040497,0.0801931768655777,0.06984863430261612,0.01877785474061966,0.0003000000142492354
0.0859859362244606,0.07029006630182266,0.015649868175387383,0.07873627543449402,0.06881885230541229,0.018192233517766,0.0003000000142492354
0.08408893644809723,0.06876619905233383,0.015246476046741009,0.07999878376722336,0.06993342190980911,0.01784040778875351,0.0003000000142492354
0.08302083611488342,0.06752869486808777,0.015403877012431622,0.08039820939302444,0.07025785744190216,0.017458681017160416,0.0003000000142492354
0.08083128184080124,0.065945565700531,0.014838168397545815,0.08224453032016754,0.07206178456544876,0.017039455473423004,0.0003000000142492354
0.07854006439447403,0.06387358903884888,0.014574146829545498,0.08287691324949265,0.07288415729999542,0.016431644558906555,0.0003000000142492354
0.07666367292404175,0.06243249028921127,0.014236174523830414,0.08101313561201096,0.07126294076442719,0.0159672349691391,0.0001500000071246177
0.07538683712482452,0.061342015862464905,0.01404397003352642,0.08219306170940399,0.07201789319515228,0.016070008277893066,0.0001500000071246177
0.07441989332437515,0.06034630164504051,0.014025895856320858,0.08130843937397003,0.07125204056501389,0.015862366184592247,0.0001500000071246177
0.07295895367860794,0.059311188757419586,0.013596838340163231,0.08254488557577133,0.07245879620313644,0.015737727284431458,0.0001500000071246177
